Title,Source title,Year,DOI,Cited by,term_loc
Cost-Effectiveness and Value of Information of Cabozantinib Treatment for Patients with Advanced Renal Cell Carcinoma After Failure of Prior Therapy in South Korea,Applied Health Economics and Health Policy,2021,10.1007/s40258-021-00640-w,1,INDEX_KW_ONLY
"Income, life expectancy, and pension system: an introduction; [Életpálya-jövedelemtől függő várható élettartam és a nyugdíjrendszer]",Statisztikai Szemle,2021,10.20311/stat2021.7.hu0632,0,title
Cost-Optimal Maintenance and Renovation Planning in Multifamily Buildings with Annual Budget Constraints,Journal of Construction Engineering and Management,2020,10.1061/(ASCE)CO.1943-7862.0001778,19,abstract
Aging successfully at work? Positive psychological perspectives on self-management at work; [Succesvol ouder worden op het werk? Positief psychologische perspectieven op zelfmanagement op het werk],Gedrag en Organisatie,2020,,1,abstract
Human development in the European union and its determinants,IBIMA Business Review,2021,10.5171/2020.215473,3,abstract
Modelling the survival function of the Spanish population by the Wong–Tsui model with the incorporation of frailty and covariates,Letters in Spatial and Resource Sciences,2020,10.1007/s12076-020-00250-5,0,abstract
5G Technology Readiness in Education among Malay Bumiputera Students in Shah Alam,International Journal of Computing and Digital Systems,2022,10.12785/ijcds/110141,6,abstract
Human Development in Kazakhstan: Problems and Methods of Analysis,Economy: strategy and practice,2021,10.51176/1997-9967-2021-4-174-187,3,author_kw
Government expenditure on human capital and growth in Namibia: a time series analysis,Journal of Economic Structures,2020,10.1186/s40008-020-00196-3,44,abstract
Dealing with spatial misalignment to model the relationship between deprivation and life expectancy: A model-based geostatistical approach,International Journal of Health Geographics,2020,10.1186/s12942-020-00200-w,9,title
Why healthcare market needs government intervention to improve access to essential medicines and healthcare efficiency: a scoping review from pharmaceutical price regulation perspective,Journal of Pharmaceutical Health Services Research,2020,10.1111/jphs.12379,15,INDEX_KW_ONLY
"A Comparison of Thermal Processing Strategies for Landfill Reclamation: Methods, Products, and a Promising Path Forward","Resources, Conservation and Recycling",2020,10.1016/j.resconrec.2020.104876,27,abstract
ECONOMIC GROWTH AND HUMAN DEVELOPMENT IN OECD COUNTRIES: A TWENTY-YEAR STUDY OF DATA 2000–2019,Journal of European Economy,2021,10.35774/jee2021.04.585,4,abstract
Statistical analysis of air pollution and life expectancy in eastern europe,Journal of Environmental Management and Tourism,2020,10.14505/jemt.v11.3(43).30,3,title
The Effect of Health on Economic Growth in Namibia,African Journal of Business and Economic Research,2021,10.31920/1750-4562/2021/v16n4a4,0,abstract
Alem do PIB per capita: Ensaio sobre medidas de bem-estar para os estados brasileiros,Revista Brasileira de Economia,2020,10.5935/0034-7140.20200017,3,abstract
"WORLD DEVELOPMENT FOR 1995-2020: ECONOMETRIC RELATIONSHIPS OF HUMAN CAPITAL, DEVELOPMENT, QUALITY OF GOVERNMENT AND LIFE SATISFACTION IN 164 COUNTRIES",Applied Econometrics and International Development,2021,,19,abstract
"The impact of economic, social, and political globalization and democracy on life expectancy in low-income countries: are sustainable development goals contradictory?","Environment, Development and Sustainability",2021,10.1007/s10668-021-01225-2,83,title
Selection of Conceptual Design for Spin Grind Dryer Seaweed Powder Machine,International Journal of Computer Information Systems and Industrial Management Applications,2021,,1,abstract
Integrating fuzzy-MCDM methods to select project portfolios under uncertainty: the case of a pharmaceutical company,Brazilian Journal of Operations and Production Management,2022,10.14488/BJOPM.2022.008,8,abstract
The value of longevity,"Politics, Philosophy and Economics",2020,10.1177/1470594X19880279,2,abstract
Recent impediments in deploying IPv6,"Advances in Science, Technology and Engineering Systems",2021,10.25046/aj060138,7,abstract
What drives the healthcare sector's economic impact? Evidence from European countries,International Journal of Health Governance,2022,10.1108/IJHG-05-2021-0043,7,INDEX_KW_ONLY
Collective Defined Contribution Schemes as an Alternative to Pension Plans; [Esquemas de Contribución Definida Colectivos como Alternativa de Planes de Pensiones],Mercados y Negocios,2022,10.32870/myn.vi45.7651,1,abstract
Trumps Economic Policy and the Corona Shock - Perspectives for the USA; [Trumps Wirtschaftspolitik und der Corona-Schock - Perspektiven für die USA],Wirtschaftsdienst,2020,10.1007/s10273-020-2786-0,0,abstract
Reliability-oriented life extension of mechatronic products: Theory and application,International Journal of Product Lifecycle Management,2021,,0,abstract
Ensuring life satisfaction through work and prosperity; [Lebenszufriedenheit durch Arbeit und Wohlstand schaffen],List Forum fur Wirtschafts- und Finanzpolitik,2020,10.1007/s41025-018-0099-5,0,abstract
"Influence of socio-economic, demographic and climate factors on the regional distribution of dengue in the United States and Mexico",International Journal of Health Geographics,2020,10.1186/s12942-020-00241-1,38,abstract
Global mortality benefits of COVID-19 action,Technological Forecasting and Social Change,2020,10.1016/j.techfore.2020.120231,64,INDEX_KW_ONLY
Alternative Mode of Health Service Delivery,Sustainable Futures,2021,10.1016/j.sftr.2021.100055,8,abstract
Economic and environmental analysis of life expectancy in China and India: A data driven approach,"Advances in Science, Technology and Engineering Systems",2020,10.25046/AJ050539,4,title
Trends in Health in Midlife and Late Life,Journal of Human Capital,2022,10.1086/717542,4,abstract
The finnish pension system from a comparative nordic perspective1,Revue de l'OFCE,2021,10.3917/reof.170.0105,3,abstract
Estimation of Quality-Adjusted Life Expectancy of Oral Cancer Patients: Integration of Lifetime Survival With Repeated Quality-of-Life Measurements,Value in Health Regional Issues,2020,10.1016/j.vhri.2019.07.005,17,title
Understanding how low levels of early lead exposure affect children’s life trajectories,Journal of Political Economy,2020,10.1086/708725,55,INDEX_KW_ONLY
Mortality differentials in beneficiaries of the National Institute of Social Security of Brazil in 2015,Revista Contabilidade e Financas,2022,10.1590/1808-057x20221556.en,2,abstract
From Spreadsheets to Script: Experiences From Converting a Scottish Cardiovascular Disease Policy Model into R,Applied Health Economics and Health Policy,2022,10.1007/s40258-021-00684-y,6,INDEX_KW_ONLY
The moderating effect of foreign direct investment on environmental degradation-poverty reduction nexus: evidence from sub-Saharan African countries,"Environment, Development and Sustainability",2021,10.1007/s10668-021-01315-1,56,abstract
Rederivation of Gertler's model and analysis of the Korean economy,Communications for Statistical Applications and Methods,2020,10.29220/CSAM.2020.27.6.649,0,author_kw
Estimation of the combined effects of ageing and seasonality on mortality risk: An application to Spain,Journal of the Royal Statistical Society. Series A: Statistics in Society,2022,10.1111/rssa.12769,18,abstract
The Mediator Effect of GDP on the Relationship between Life Expectancy and Environment,Review of Integrative Business and Economics Research,2020,,3,title
Inclusive Growth and Regional Sustainability of Russia,Regional Research of Russia,2020,10.1134/S2079970520010025,14,abstract
Socio-cultural researches of international migration and demography,World Economy and International Relations,2020,10.20542/0131-2227-2020-64-5-124-129,1,abstract
Pleasurable challenges: competing with the ageing body and mind through Ballet for Seniors,Leisure Studies,2020,10.1080/02614367.2019.1670720,12,abstract
Enhanced annuities as a complement to the public retirement pension: Analysis of their implementation in Spain; [Rendas melloradas como complemento á pensión pública de xubilación: Análise da súa implantación en España],Revista Galega de Economia,2020,10.15304/rge.29.3.6649,3,abstract
The impact of health on GDP: A panel data investigation,Journal of Economic Asymmetries,2020,10.1016/j.jeca.2019.e00139,13,abstract
Cost-effectiveness of apixaban versus other direct oral anticoagulants and warfarin in the prevention of thromboembolic complications among finnish patients with non-valvular atrial fibrillation,ClinicoEconomics and Outcomes Research,2021,10.2147/CEOR.S317078,16,abstract
The use and value of financial advice for retirement planning,Journal of Retirement,2020,10.3905/jor.2019.1.060,14,abstract
Survival and costs of colorectal cancer treatment and effects of changing treatment strategies: a model approach,European Journal of Health Economics,2020,10.1007/s10198-019-01130-6,17,INDEX_KW_ONLY
Measuring Main Public Health Indicators of the Republic of Kazakhstan,Economy: strategy and practice,2021,10.51176/1997-9967-2021-3-192-203,0,abstract
Social development from nuclear and other energy: A myth or reality from Indonesia,International Journal of Energy Economics and Policy,2021,10.32479/ijeep.10933,1,abstract
Public health spending and health outcome in Nigeria: the role of governance,International Journal of Development Issues,2021,10.1108/IJDI-10-2019-0169,23,abstract
The Impact of Firms’ Activities on Regional Sustainable Development,International Journal of Technology,2022,10.14716/ijtech.v13i7.6195,6,abstract
"30 Years after Reunification, Gross Domestic Product has Served its Purpose as an Indicator; [30 Jahre nach der Wiedervereinigung hat das Bruttoinlandsprodukt als Indikator ausgedient]",Wirtschaftsdienst,2021,10.1007/s10273-021-2830-8,1,abstract
Contribution of Healthcare Professionals in Issues that Relate to Quality Management,Materia Socio-Medica,2021,10.5455/msm.2021.33.45-50,8,abstract
Estimating older people's labour supply decisions in Korea,Society and Economy,2020,10.1556/204.2020.00003,2,abstract
B-spline estimation for force of mortality,Mathematics and Statistics,2021,10.13189/ms.2021.090513,2,abstract
Modelling the global prevalence of COVID-19: evidence from multiple wave scenarios,International Journal of Sustainable Economy,2022,10.1504/IJSE.2022.123861,1,abstract
MODELING MIGRATION CHANGES ACCORDING TO ALTERNATIVE SCENARIOS IN THE CONTEXT OF THE GLOBAL COVID-19 PANDEMIC: THE EXAMPLE OF UKRAINE,Ikonomicheski Izsledvania,2022,,4,abstract
The life expectancy–economic growth nexus in Nigeria: the role of poverty reduction,SN Business and Economics,2021,10.1007/s43546-021-00119-9,18,title
Long Term Cost-Effectiveness of a Systolic Blood Pressure Goal of <120 mmHg in Hypertensive Patients Without Diabetes Mellitus,Value in Health Regional Issues,2020,10.1016/j.vhri.2019.09.003,3,INDEX_KW_ONLY
Unequal Economic Growth Between Regions in Indonesia: Hard Infrastructure or Soft Infrastructure?,International Journal of Business,2020,10.20469/IJBAS.6.10004-2,2,abstract
The Effects of Life Expectancy and Financial Crisis on the Stock Market Development in Africa,Global Business Review,2021,10.1177/0972150919826392,2,title
Status of using rope in purse seine fisheries in Viet Nam,CTU Journal of Innovation and Sustainable Development,2021,10.22144/ctu.jen.2021.027,0,abstract
Performance analysis of standalone photovoltaic power generation in different load conditions in India,Economics and Policy of Energy and the Environment,2021,10.3280/EFE2021-001007,1,abstract
Stock-flow relations in the socio-economic metabolism of the United Kingdom 1800–2017,"Resources, Conservation and Recycling",2020,10.1016/j.resconrec.2020.104960,45,abstract
"INDUSTRY, EDUCATION, DEVELOPMENT AND QUALITY OF LIFE IN AFRICAN COUNTRIES, 1995-2020",Regional and Sectoral Economic Studies,2021,,9,abstract
Determinants of pension capital management in Poland,Investment Management and Financial Innovations,2020,10.21511/imfi.17(4).2020.27,2,abstract
What is the Impact of the Analysis Method Used for Health State Utility Values on QALYs in Oncology? A Simulation Study Comparing Progression-Based and Time-to-Death Approaches,Applied Health Economics and Health Policy,2021,10.1007/s40258-020-00620-6,7,INDEX_KW_ONLY
Carbon emissions and life expectancy in Nigeria,International Journal of Energy Economics and Policy,2021,10.32479/ijeep.10834,29,title
Factors explaining the business survival of MSMEs in Ecuador; [Factores explicativos de la supervivencia empresarial de la mipyme en Ecuador],Estudios de Economia Aplicada,2021,10.25115/eea.v39i8.4061,1,abstract
"Who is better off? Measuring cross-border differences in living standards, opportunities and quality of life on the Island of Ireland",Irish Studies in International Affairs,2021,10.3318/isia.2021.32b.12,10,abstract
Quali health: creating access to quality healthcare for South Africa’s excluded majority,Emerald Emerging Markets Case Studies,2020,10.1108/EEMCS-10-2019-0253,0,abstract
Value of Life Year and Cost-Effectiveness Thresholds: The Case of Poland,Central European Economic Journal,2021,10.2478/ceej-2021-0019,6,abstract
Insights from real-world analysis of treatment patterns in patients with newly diagnosed knee osteoarthritis,American Health and Drug Benefits,2021,,17,INDEX_KW_ONLY
A cost effectiveness analysis of rivaroxaban compared to warfarin for deep vein thrombosis (Dvt) treatment in Ethiopia,ClinicoEconomics and Outcomes Research,2021,10.2147/CEOR.S327868,3,abstract
A continuous transition: demographic development in Hungary (1920–2020); [Folytonos átmenet: Magyarország népesedése 1920 és 2020 között],Statisztikai Szemle,2020,10.20311/stat2020.6.hu0481,7,abstract
Carbon footprint of Japanese health care services from 2011 to 2015,"Resources, Conservation and Recycling",2020,10.1016/j.resconrec.2019.104525,143,INDEX_KW_ONLY
The Role of Human Capital in the Economic Development of Countries,Economy: strategy and practice,2022,10.51176/1997-9967-2022-2-111-125,0,abstract
The European Silver Economy; [СЕРЕБРЯНАЯ ЭКОНОМИКА ЕС],Sovremennaya Evropa,2021,10.15211/SOVEUROPE62021109119,1,abstract
Does human capital matter for fdi’s effect on poverty? An evidence from nigeria,Nigerian Journal of Economic and Social Studies,2021,,0,abstract
"Carbon emissions, agricultural output and life expectancy in West Africa",International Journal of Energy Economics and Policy,2020,10.32479/ijeep.9177,39,title
Incorporating structural changes in mortality improvements for mortality forecasting,Scandinavian Actuarial Journal,2020,10.1080/03461238.2020.1748102,5,abstract
Indicators of the Social Dimension of Demographic Development (on the Example of the Republic of Mari El),Studies on Russian Economic Development,2020,10.1134/S1075700720040127,0,abstract
How management is being transformed: Drucker Forum insights,Strategy and Leadership,2020,10.1108/SL-12-2019-0175,3,abstract
Analysis of prognostic factors for feline mammary tumours (overview information); [АНАЛІЗ ПРОГНОСТИЧНИХ ФАКТОРІВ ЗА ПУХЛИН МОЛОЧНОЇ ЗАЛОЗИ У КІШОК (ОГЛЯДОВА ІНФОРМАЦІЯ)],Scientific Horizons,2020,10.48077/scihor.23(10).2020.99-109,0,abstract
Economic relations and the public image of China in Latin America: a cross-country time-series analysis,Economic and Political Studies,2022,10.1080/20954816.2021.1914414,9,abstract
Understanding internet appropriation among older people through institutional supports in Spain,Technology in Society,2021,10.1016/j.techsoc.2020.101505,23,abstract
The effect of crime on adolescent fertility in Colombia; [El efecto del crimen violento en la fecundidad de adolescentes en Colombia],Desarrollo y Sociedad,2022,10.13043/DYS.90.2,0,abstract
Does renewable energy consumption reduce ecological footprint? Evidence from eight developing countries of Asia,Journal of Cleaner Production,2021,10.1016/j.jclepro.2020.124867,365,abstract
ENERGY DIVERSIFICATION OF SOURCES IN SUB-SAHARAN AFRICA: What Impact on Quality of Life?,Energy Studies Review,2021,10.15173/esr.v25i1.4438,2,abstract
Low-fertility trap: a threat to India’s agile workforce,International Journal of Economic Policy in Emerging Economies,2022,10.1504/IJEPEE.2022.121351,0,abstract
Writing a New Narrative for Behavioral Healthcare,Journal of Healthcare Management,2020,10.1097/JHM-D-20-00022,0,INDEX_KW_ONLY
Revitalization policy to overcome the climate crisis post covid pandemic-19,International Journal of Entrepreneurship,2020,,1,abstract
Evaluation of the long-term cost-effectiveness of the dexcom g6 continuous glucose monitor versus self-monitoring of blood glucose in people with type 1 diabetes in canada,ClinicoEconomics and Outcomes Research,2021,10.2147/CEOR.S304395,14,abstract
An effective machine learning approach for disease predictive modelling in medical application,International Journal of Scientific and Technology Research,2020,,1,abstract
The health crisis and inter-generational inequality; [Crise sanitaire et inégalités générationnelles],Futuribles: Analyse et Prospective,2021,,0,abstract
Avoidable mortality from circulatory system diseases in moldova,Population and Economics,2021,10.3897/popecon.5.e65218,1,abstract
The financial and tax considerations of social security and early retirement,Journal of Wealth Management,2021,10.3905/JWM.2021.1.154,1,abstract
A MATHEMATICAL MODEL FOR PROJECTION OF LIFE EXPECTANCY AT BIRTH USING EARLY CHILDHOOD SURVIVORSHIP PROBABILITIES,Far East Journal of Theoretical Statistics,2022,10.17654/0972086322002,0,title
6-Parametric factor model with long short-term memory,Communications for Statistical Applications and Methods,2021,10.29220/CSAM.2021.28.5.521,1,abstract
The impact of the Covid-19 pandemic on working poverty: Theoretical and conceptual reflections,Sociologia del Lavoro,2021,10.3280/SL2021-161001,1,abstract
Implied equity duration as a measure of risk and its simultaneous endogeneity with performance in European companies,International Journal of Economics and Business Research,2020,10.1504/IJEBR.2020.106531,0,abstract
Sustainable Development in Canadaʼs Arctic Territories: Goals and Results; [Устойчивое развитие арктических территорий Канады: цели и результаты],International Organisations Research Journal,2020,10.17323/1996-7845-2020-04-07,4,abstract
International purview of poverty control in the new emerging economy,Corporate Governance and Organizational Behavior Review,2021,10.22495/cgobrv5i1p5,2,abstract
Changes in the Number and Age–Sex Structure of the Population of the Siberian Federal District And Its Regions in 1989–2017: Assessment of Consequences and Risks,Regional Research of Russia,2020,10.1134/S2079970520020136,4,author_kw
"Health Outcomes, Income and Income Inequality: Revisiting the Empirical Relationship",Forum for Health Economics and Policy,2021,10.1515/fhep-2021-0042,5,author_kw
"COVID: everything is better when everything is worse? A comparative analysis of testing, death rate and life expectancy across Italian regions","Regional Studies, Regional Science",2020,10.1080/21681376.2020.1832908,2,title
The Roadside Healthcare Facility Location Problem A Managerial Network Design Challenge,Production and Operations Management,2020,10.1111/poms.13152,29,abstract
Ecosystem services-human wellbeing relationships vary with spatial scales and indicators: The case of China,"Resources, Conservation and Recycling",2021,10.1016/j.resconrec.2021.105662,91,abstract
Wasted windfalls: Inefficiencies in health care spending in oil rich countries,Resources Policy,2020,10.1016/j.resourpol.2020.101618,12,abstract
Holistic diagnosis tool for early detection of breast cancer,International Journal of Computing and Digital Systems,2021,10.12785/IJCDS/100141,5,abstract
How to reduce CO2 emissions in pharmaceutical industry of China: Evidence from total-factor carbon emissions performance,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.130505,19,abstract
"QUALITY OF LIFE IN COUNTRIES AND REGIONS OF EUROPE, AMERICA, ASIA AND OCEANIA: SUBJECTIVE AND OBJECTIVE INDICATORS, 2000-2020",Regional and Sectoral Economic Studies,2022,,5,abstract
Access to modern energy services and human development in India: Has government policies paid off?,International Journal of Energy Economics and Policy,2021,10.32479/ijeep.10949,5,abstract
Dependence of Life Expectancy of the Population on the Well-Being of the Country (International Statistical Study),Studies on Russian Economic Development,2021,10.1134/S1075700721020052,2,title
From Basic Pension to Life Expectancy Factor; [Von der Grundrente zum Lebenserwartungsfaktor],Wirtschaftsdienst,2020,10.1007/s10273-020-2762-8,3,title
Alcohol mortality in Russia: assessment with representative survey data,Population and Economics,2020,10.3897/popecon.4.e51653,16,abstract
The Predicament of Establishing Persistence: Slavery and Human Capital in Africa,Journal of Historical Political Economy,2021,10.1561/115.00000015,1,author_kw
Planning of socio-economic development of the territories (Experience of European Union),International Journal of Management,2020,10.34218/IJM.11.4.2020.054,49,abstract
Population mortality in the central Russia municipalities,Population and Economics,2022,10.3897/popecon.6.e84005,3,abstract
"Determinants of the evolution of the number of COVID-19 cases and deaths in Peru: Mobility, geography and economic development; [Determinantes de la evolución del número de casos y muertes por COVID-19 en el Perú: movilidad, geografía y desarrollo económico]",Apuntes,2022,10.21678/apuntes.91.1500,2,abstract
The relationship between population ageing and private savings in Vietnam,Malaysian Journal of Consumer and Family Economics,2020,,2,author_kw
Cross-country spatial patterns in terms of human development indices; [Межстрановые пространственные зависимости по показателям человеческого развития],Economy of Regions,2021,10.17059/EKON.REG.2021-3-10,4,abstract
International Energy Law and the Development Dilemma of Developing Countries,Manchester Journal of International Economic Law,2022,,4,abstract
The impact of greenfield-fdi on socio-economic development of pakistan,HSE Economic Journal,2020,10.17323/1813-8691-2020-24-3-415-433,5,abstract
A Deeper Union: From a Failed Project to the European Quality Lead,Intereconomics,2021,10.1007/s10272-021-0975-8,1,abstract
The challenge posed by the COVID-19 pandemic: how to decide who deserves life-saving medical devices?,International Journal of Health Governance,2021,10.1108/IJHG-08-2020-0090,10,INDEX_KW_ONLY
Productivity effects of human capital among the east african countries: Evidence from health and higher education,African Journal of Business and Economic Research,2020,10.31920/1750-4562/2020/V15N3A6,0,author_kw
Differentiation of Russian regions by life expectancy,Population and Economics,2020,10.3897/popecon.4.e61386,1,title
Efficiency evaluation of sustainable development in BRICS and G7 countries: a Data Envelopment Analysis approach; [Análise do desenvolvimento sustentável nos BRICS e G7: uma abordagem com a Análise Envoltória de Dados],Gestao e Producao,2022,10.1590/1806-9649-2022v29e022,11,abstract
A panel analysis of health expenditure and economic growth in ECOWAS countries,African Journal of Business and Economic Research,2020,10.31920/1750-4562/2020/15n1a3,5,abstract
"The dynamic impact of urbanization, structural transformation, and technological innovation on ecological footprint and PM2.5: evidence from newly industrialized countries","Environment, Development and Sustainability",2022,10.1007/s10668-021-01614-7,145,abstract
A multi-state model approach for risk analysis of pensions for married couples with consideration of mortality difference by marital status,Communications for Statistical Applications and Methods,2021,10.29220/CSAM.2021.28.6.611,1,abstract
Effects of Air Pollution and Corruption Control on Life Expectancy in Middle-Income Countries,International Journal of Economics and Management,2021,,3,title
Fault tolerant inverter for high speed pmbldc drive in aerospace applications,International Journal of Scientific and Technology Research,2020,,0,abstract
LIFE EXPECTANCY IN SUB-SAHARA AFRICA: AN EXAMINATION OF LONG-RUN AND SHORT-RUN EFFECTS,Asian Development Policy Review,2021,10.18488/journal.107.2021.91.57.68,4,title
What Happened to the Technophysio Evolution in Chile?; [¿Qué pasó con la evolución tecnofisiológica en Chile?],Estudios Publicos,2022,10.38178/07183089/1019201221,0,abstract
Sustainable development: Trends in ukraine and the world doi: Https://doi.org/10.14505/jemt.v9.7(39).01,Journal of Environmental Management and Tourism,2021,10.14505/jemt.v12.5(53).03,18,abstract
The significance of the risks of economic security according to the insurance market data in the Russian federation; [La importancia de los riesgos de seguridad económica según los datos del mercado de seguro],Universidad y Sociedad,2020,,0,abstract
Performance evaluation analysis program for electric railway facilities,Journal of the Korean Society for Railway,2020,10.7782/JKSR.2020.23.6.542,4,abstract
Impacts of foreign direct investment on human capital in Asean,Journal of Distribution Science,2020,10.15722/jds.18.9.202009.13,3,abstract
Factors that Influence Economic Growth: Empirical Evidence from Albania,WSEAS Transactions on Business and Economics,2022,10.37394/23207.2022.19.126,3,abstract
Economic Evaluation of Breast Cancer Early Detection Strategies in Asia: A Systematic Review,Value in Health Regional Issues,2020,10.1016/j.vhri.2020.01.003,12,INDEX_KW_ONLY
The Returns to Preventing Chronic Disease in Europe and the United States,Journal of Human Capital,2022,10.1086/718513,2,abstract
A spatial multilevel analysis of the impacts of housing conditions on county-level life expectancy at birth in China,Applied Geography,2020,10.1016/j.apgeog.2020.102311,12,title
The Intergenerational Digital Divide in Russia; [Межпоколенческий цифровой разрыв в России],Mir Rossii,2022,10.17323/1811-038X-2022-31-2-51-74,7,abstract
Mathematical modeling of lung cancer using rough sets,International Journal of Advanced Research in Engineering and Technology,2020,10.34218/IJARET.11.3.2020.001,4,abstract
Obinutuzumab plus chemotherapy compared with rituximab plus chemotherapy in previously untreated Italian patients with advanced follicular lymphoma at intermediate–high risk: A cost-effectiveness analysis,ClinicoEconomics and Outcomes Research,2021,10.2147/CEOR.S317885,3,abstract
The Impact of Globalization on Women’s Health in Africa,African Journal of Business and Economic Research,2022,10.31920/1750-4562/2022/v17n1a14,0,abstract
Impact of socioeconomic variables in the human development index of the Latin American economies; [Impacto De Variables Socioeconómicas En El Índice De Desarrollo Humano De Las Economías Latinoamericanas],Universidad y Sociedad,2020,,1,abstract
Renewable Energy Consumption and Health Outcomes: Evidence from Global Panel Data Analysis,Pakistan Journal of  Commerce and  Social Sciences,2021,,46,abstract
Resources of educational and healthcare industries and population welfare: Comparative analysis in post-socialist and oecd countries,WSEAS Transactions on Business and Economics,2021,10.37394/23207.2021.18.54,4,abstract
Modeling of Healthcare Monitoring System of Smart Cities,TEM Journal,2022,10.18421/TEM112-55,5,abstract
Beyond standardized mortality ratios; some uses of smoothed age-specific mortality rates on small areas studies,International Journal of Health Geographics,2020,10.1186/s12942-020-00251-z,12,abstract
American Delusion: Life Expectancy and Welfare in the United States from an International Perspective,Journal of Human Capital,2022,10.1086/717543,2,title
Minding the gap in subjective mortality estimates,Journal of Retirement,2021,10.3905/JOR.2021.1.093,1,abstract
Effect of health outcome on economic growth in sub-Saharan Africa: a system generalized method of moment approach,Journal of Economics and Development,2021,10.1108/JED-06-2020-0078,17,abstract
COVID-19 and income inequality in OECD countries,European Journal of Health Economics,2021,10.1007/s10198-021-01266-4,111,INDEX_KW_ONLY
PHARMACEUTICAL EXPENDITURE AND GROSS DOMESTIC PRODUCT: THE CASE OF NORTH CYPRUS,Academy of Strategic Management Journal,2021,,0,abstract
DEMOCRACY AND STATE CAPACITY AS DETERMINANTS OF LIFE EXPECTANCY: EVIDENCE FROM LATIN AMERICA,Annals of the Fondazione Luigi Einaudi,2020,10.26331/1125,1,title
Non-renewable energy consumption and quality of life: Evidence from Sub-Saharan African economies,Resources Policy,2021,10.1016/j.resourpol.2021.102176,42,abstract
Еnvironmental and Legal Regulation of Digitalization of Environmental Protection,Journal of Environmental Management and Tourism,2021,10.14505/jemt.12.7(55).19,26,abstract
An Analysis of the Major Factors Shaping the Tourismrelated Spending of Senior Citizens in Hungary,Regional Statistics,2021,10.15196/RS110208,3,abstract
Life expectancy and specific causes of mortality in terms of gender inequalities in relation to economic growth; [Gyvenimo trukmė ir konkrečios mirtingumo priežastys atsižvelgiant į su ekonomikos augimu susijusia lyčių nelygybe],Transformations in Business and Economics,2021,,2,title
A PANEL DATA ESTIMATION OF THE DETERMINANTS OF LIFE EXPECTANCY IN SELECTED SAARC COUNTRIES,Operations Research and Decisions,2021,10.37190/ord210404,21,title
Physical and Mental Health Level of the Elderly Living in Central Greece,Materia Socio-Medica,2021,10.5455/msm.2021.33.16-20,4,abstract
A framework for day-ahead optimal charging scheduling of electric vehicles providing route mapping: Kowloon case study,Journal of Cleaner Production,2021,10.1016/j.jclepro.2021.127297,48,abstract
Preparation of orally disintegrating tablets from active ingredients of citrus peel by direct powder compression for the maintenance of brain function,Food Science and Technology Research,2021,10.3136/FSTR.27.573,2,abstract
Demographic transition and economic potential: Malaysia,SCMS Journal of Indian Management,2020,,3,author_kw
Asset liability management for the Bank of Uganda defined benefits scheme by stochastic programming,Operations Research and Decisions,2022,10.37190/ord220207,1,abstract
Multi-population models to handle mortality crises in forecasting mortality: A case study from Hungary,Society and Economy,2021,10.1556/204.2021.00007,6,abstract
Active Leisure and Ageing in Rural Ireland: Exploring Perceptions and Motivations to Facilitate and Promote Meaningful Physical Activity,Academica Turistica,2022,10.26493/2335-4194.15.65-80,1,abstract
Assessment of human capital in Russian macroregions; [Оценка человеческого капитала в макрорегионах России1],Economy of Regions,2021,10.17059/EKON.REG.2021-3-12,11,abstract
Health outcomes and the resource curse paradox: The experience of African oil-rich countries,Resources Policy,2021,10.1016/j.resourpol.2021.102201,29,abstract
The Finnish Pension System and Its Future Challenges,Intereconomics,2020,10.1007/s10272-020-0877-1,3,abstract
"Geroprotective activity of trans-cinnamic acid isolated from the Baikal skullcap (Scutellaria baicalensis); [Геропротекторная активность транс-коричной кислоты, выделенной из шлемника байкальского (Scutellaria baicalensis)]",Food Processing: Techniques and Technology,2022,10.21603/2074-9414-2022-3-2388,12,author_kw
The Gender Pension Gap in Germany – Reasons and Remedies,CESifo Forum,2022,,3,abstract
"Health expenditure, economic growth and life expectancy at birth in resource rich developing countries: A case of Saudi Arabia and Nigeria",Journal of Economic Cooperation and Development,2021,,5,title
"An empirical study of foreign direct investment, human development and endogenous growth",Global Business and Economics Review,2021,10.1504/GBER.2021.111987,7,abstract
Perception of population ageing and age discrimination across EU countries,Population and Economics,2019,10.3897/popecon.3.e49760,25,abstract
"The post social development of Belarus in the 21st century: Economy, population, life level",Ukrainian Geographical Journal,2018,10.15407/ugz2018.03.044,0,abstract
Population dynamics and human capital development in west africa,Nigerian Journal of Economic and Social Studies,2020,,3,abstract
Strategies to Manage Regional Development Inequality for Economic Recovery During the COVID-19 Period,Academy of Strategic Management Journal,2020,,2,abstract
The cost-effectiveness of a NSCLC patient assistance program for pemetrexed maintenance therapy in people’s republic of China,ClinicoEconomics and Outcomes Research,2017,10.2147/CEOR.S119818,4,INDEX_KW_ONLY
Longevity and labour market; [Longevidad y mercado de trabajo],Ekonomiaz,2019,,0,abstract
Cost-effectiveness analysis of IDegLira versus basal-bolus insulin for patients with type 2 diabetes in the Slovak health system,ClinicoEconomics and Outcomes Research,2017,10.2147/CEOR.S143127,12,abstract
Why is There Discordance between the Reimbursement of High-Cost ‘Life-Extending’ Pharmaceuticals and Medical Devices? The Funding of Ventricular Assist Devices in Australia,Applied Health Economics and Health Policy,2019,10.1007/s40258-019-00470-x,8,INDEX_KW_ONLY
