Article Title,Source Title,Author Keywords,Abstract,relevance
The Impact of Public Health Expenditure on Health Component of Human Capital,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,Public Health Expenditure; Health Input; Health Outcomes; Human Capital; Human Capital Factors,"The analysis of the concept of human capital shows that this form of capital includes a set of different components that are used in economic activities and generates different kind of benefits. Health is one of the main components of human capital. Hence, considering its importance authors of this article fried to investigate the impact of public health expenditure on the health component of human capital. Ordinary least square, fixed and random effects panel data models for 28 European Union countries were used to reach this purpose. The main variables used in this study is life expectancy at birth (related to the health component of human capital) and general government health expenditure. It is known that there are other factors affecting health and human capital in general. Hence variables such as GDP grow, GINI coefficient, education level, alcohol consumption, old age dependency and urbanization rate were added in the models as explanatory variables. The results of the performed study show that public health expenditure has a positive and significant impact on the improvements of life expectancy. Selected fixed-effects panel data models also show significant and positive effects of the GDP growth, old age dependency while a negative effect is identified by alcohol consumption. The existing close relationship between health and education also is confirmed by this study. Results suggest that higher education level is positively and significantly related to life expectancy while a lower education has a negative impact on life expectancy.",
Does internet use and adoption matter for better health outcomes in sub-Saharan African countries? New evidence from panel quantile regression,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,Internet use; Health outcomes in sub-Saharan Africa; Quantile regression,"This study examines the relationship between internet use and health outcomes (i.e. infant mortality, under-five mortality, life expectancy) using generalized quantile regression approach. We used annual unbalanced panel data for 48 sub-Saharan Africa countries from 2000 to 2020. The findings show that internet use has a positive and statistically significant impact on improving health outcomes in sub-Saharan Africa to almost all quantiles (10th to 90th). This implies that internet use among individuals increases longevity (i.e. life expectancy) and lowers both infant and under-five mortality from 2000 to 2020. The findings still holds the same after checking robustness analysis. Moreover, the findings reveal the heterogeneous effect of income, health spending, carbon dioxide emissions and trade on health outcomes across different quantiles. These imply that at a certain quantile there are a diminishing returns or increases of health outcomes. Overall, the findings support the idea that increasing internet use and penetration will likely contribute to improving longevity (i.e. life expectancy) and lowering infant and under-five mortality in sub-Saharan Africa. The mechanism of internet use and adoption in influencing health outcomes is also discussed. We suggest sub-Saharan Africa countries to give priority to internet use and adoption strategies, policies or laws that ensure the availability of digital tools (such as smartphones and computers) for online searching and use of health-related information.",
How are the international capital flows of rapidly aging countries affected by the elderly working longer?,ECONOMIC MODELLING,International capital flows; Elderly labor supply; Population aging; Current account balances; Cointegration,"The labor force participation rate of the elderly has markedly increased in countries with a rapidly aging population. To assess the interaction effects between elderly labor supply and population aging, this paper examines international capital flows. Using an open-economy overlapping-generations model, we show analytically that current account balances in countries with higher longevity deteriorate at a faster rate when the elderly work longer. This interaction effect mainly arises from the productivity effect of life expectancy, which amplifies the impact of an elderly labor supply through the improvement in health, and thus productivity, in old age. We test the empirical validity of our theoretical results using US current account data. The interaction effect between the labor force participation rate of the elderly and life expectancy is significantly negative, suggesting that the theoretical prediction holds empirically. Therefore, recent trends in population aging and retirement age will worsen current account balances.",
Adaptive decision-making of breast cancer mammography screening: A heuristic-based regression model,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,Breast cancer; Mammography; Adaptive decision-making; Logistic regression; H measure; Model selection; Tabu search,"The American Cancer Society (ACS) updated their breast cancer screening guidelines in late 2015 and recommends that all women have the choice to start annual mammography screenings beginning at age 40. For women ages 45-54, the ACS explicitly recommends annual mammograms. However, due to the potential harms associated with screening mammography, such as overdiagnosis and unnecessary work-ups, the best strategy to design an appropriate breast cancer mammography screening schedule remains controversial. Instead of recommending a one-size-fits-all screening schedule, this study identifies a personalized mammography screening strategy adaptive to each woman's age-specific breast cancer risk. We present a two-stage decision framework: (1) age-specific breast cancer risk estimation and (2) annual mammography screening decision-making based on estimated risk. The results suggest that the optimal combinations of independent variables used in risk estimation are not the same across age groups. Our optimal decision models outperform the existing mammography screening guidelines in terms of the average loss of life expectancy. While most earlier studies improved the breast cancer screening decisions by offering lifetime screening schedules, our proposed model provides an adaptive screening decision aid by age. Since whether or not a woman should receive a mammogram is determined based on her breast cancer risk at her current age, our on-line screening policy adapts to a woman's latest health status, which reflects the current individual risk of each woman more accurately. (C) 2017 Elsevier Ltd. All rights reserved.",
Managing borders and managing bodies in contemporary Japan,JOURNAL OF THE ASIA PACIFIC ECONOMY,globalisation; migration; labour; Japan; border control; biopower,"Matters of border control in twenty-first-century Japan interact with current social issues involving demography, the labour market and economic relationships with other countries in the region. Japan faces a rapidly ageing population, the highest life expectancy in the world, a birth rate well below replacement level and a shrinking population. Smaller families find it difficult to provide primary care for the sick, the elderly and those with disabilities, and the welfare system is stretched to the limit. At the same time, Japanese people are increasingly unwilling to undertake work regarded as 'manual labour' or 'unskilled labour'. Thus, the management of border control is related to the labour market and the management of welfare. This is a range of policies which I would like to refer to as involving the management of bodies. This paper thus focuses on 'the management of borders' and the 'management of bodies' in contemporary Japan.",
Within the triangle of healthcare legacies: comparing the performance of South-Eastern European health systems,JOURNAL OF MEDICAL ECONOMICS,South-eastern Europe; Health resources; Utilization; Population health; Trend; Socioeconomic transition; Health indicators; Post-Semashko; Yugoslavia,"Objective: Inter-regional comparison of health-reform outcomes in south-eastern Europe (SEE). Methods: Macro-indicators were obtained from the WHO Health for All Database. Inter-regional comparison among post-Semashko, former Yugoslavia, and prior-1989-free-market SEE economies was conducted. Results: United Nations Development Program Human Development Index growth was strongest among prior-free-market SEE, followed by former Yugoslavia and post-Semashko. Policy cuts to hospital beds and nursing-staff capacities were highest in post-Semashko. Physician density increased the most in prior-free-market SEE. Length of hospital stay was reduced in most countries; frequency of outpatient visits and inpatient discharges doubled in prior-free-market SEE. Fertility rates fell for one third in Post-Semashko and prior-free-market SEE. Crude death rates slightly decreased in prior-free-market-SEE and post-Semashko, while growing in the former Yugoslavia region. Life expectancy increased by 4 years on average in all regions; prior-free-market SEE achieving the highest longevity. Childhood and maternal mortality rates decreased throughout SEE, while post-Semashko countries recorded the most progress. Conclusions: Significant differences in healthcare resources and outcomes were observed among three historical health-policy legacies in south-eastern Europe. These different routes towards common goals created a golden opportunity for these economies to learn from each other.",
Deprivation as a fundamental cause of morbidity and reduced life expectancy: an observational study using German statutory health insurance data,INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,Fundamental cause theory; Deprivation; Morbidity; Life expectancy; Grossman model; Cross-lagged-panel-design; I14; D79; R23; C51,"Across all developed countries, there is a steep life expectancy gradient with respect to deprivation. This paper provides a theoretical underpinning for this gradient in line with the Grossman model, indicating that deprivation affects morbidity and, consequently, life expectancy in three ways: directly from deprivation to morbidity, and indirectly through lower income and a trade-off between investments in health and social status. Using rich German claims data covering 6.3 million insured people over four years, this paper illustrates that deprivation increases morbidity and reduces life expectancy. It was estimated that highly deprived individuals had approximately two more chronic diseases and a life expectancy reduced by 15 years compared to the least deprived individuals. This mechanism of deprivation is identified as fundamental, as deprived people remain trapped in their social status, and this status results in health investment decisions that affect long-term morbidity. However, in the German setting, the income and investment paths of the effects of deprivation were of minor relevance due to the broad national coverage of its SHI system. The most important aspects of deprivation were direct effects on morbidity, which accumulate over the lifespan. In this respect, personal aspects, such as social status, were found to be three times more important than spatial aspects, such as area deprivation.",
To Love or to Pay Savings and Health Care in Older Age,JOURNAL OF HUMAN RESOURCES,,"This paper develops a dynamic structural lifecycle model to study how heterogeneous health and medical spending shocks affect the savings behavior of the elderly. Individuals are allowed to respond to health shocks in two ways: They can directly pay for their health care expenses (self-insure) or they can rely on health insurance contracts. There are two possible insurance options, one through formal contracts and another through informal care provided by family. Formal contracts may be affected by asymmetric information problems whereas informal insurance depends on social ties (cohesion) and on bequeathable wealth. I estimate the model on SHARE data using simulated method of moments for four levels of wealth in a sample of single retired Europeans. Counterfactual experiments show that health, medical spending, and health insurance are indeed the main drivers of the slow wealth decumulation in old age. I also find that social cohesion rises with age, declines with wealth, and is higher in Mediterranean countries than in Central European and Scandinavian countries. Finally, high social cohesion appears typically associated with increased life expectancy.",
Foreign Capital Flows and the Efficiency of the HDI Dimensions,GLOBAL ECONOMY JOURNAL,Human Development Index; Data Envelopment Analysis; Efficiency; Foreign Capital Flows,"This paper examines the impact of the various types of foreign capital flows (or FCF) on the efficiency with which countries transform their respective resources into the achievements associated with the three dimensions (Life expectancy or LI, Educational attainment or EI and wealth or WI) of the Human Development Index. An important result is the identification of returns to scale as the main factor preventing some countries from achieving the total efficiency level assumed by standard economic analysis, if decision-making units (DMUs) or countries in this case, working along their respective production possibility frontiers, wish achieve the goal of optimizing the utilization of their resources.",
Demographic dynamics and long-run development: insights for the secular stagnation debate,JOURNAL OF POPULATION ECONOMICS,Secular stagnation; Long-term development; Income growth; Demographic transition,"This paper takes a global, long-run perspective on the recent debate about secular stagnation, which has so far mainly focused on the short term. The analysis is motivated by observing the interplay between the economic and demographic transition that has occurred in the developed world over the past 150 years. To the extent that high growth rates in the past have partly been the consequence of singular changes during the economic and demographic transition, growth is likely to become more moderate once the transition is completed. At the same time, a similar transition is on its way in most developing countries, with profound consequences for the development prospects in these countries, but also for global comparative development. The evidence presented here suggests that long-run demographic dynamics have potentially important implications for the prospects of human and physical capital accumulation, the evolution of productivity, and the question of secular stagnation.",
Economic Evaluation of Atorvastatin for Prevention of Recurrent Stroke Based on the SPARCL Trial,VALUE IN HEALTH,atorvastatin; cost-effectiveness; stroke; stroke prevention,"Objectives: This study evaluated the economic implications of results obtained by the Stroke Prevention by Aggressive Reduction in Cholesterol Levels (SPARCL) trial. Methods: To enable long-term projection of the trial results, a discrete event simulation of the course of clinical care after a recent stroke or transient ischemic attack (TIA) was developed. It generates pairs of identical patients; both receive usual care, one receives atorvastatin in addition. Their clinical course is simulated based on their risk of stroke, cardiovascular events, and case fatality rates taken from SPARCL, life expectancy from Saskatchewan Health data, and utility weights from literature. Costs, from a US health-care payer perspective in 2005 US dollars, were estimated for a within-trial 5-year period; survival and quality-adjusted life-years (QALYs) were extrapolated over a patient's lifetime; all discounted at 3%/year. Results: The prevention of stroke, coronary, and other cardiovascular events expected with atorvastatin translates to mean gains of 0.155 life-years gained and 0.172 QALYs per patient over their lifetime. Reducing associated medical costs ($8405 vs. $11,237) but increasing drug costs ($13,984 vs. $8752) results in net $2400/patient, or $13,916/QALY gained. Probabilistic sensitivity analysis indicates no simulations yield ratios above $50,000/QALY. Conclusion: Prescribing atorvastatin for patients with prior stroke or TIA is expected to provide health benefits at an acceptable cost in the United States.",
Estimating long term cost savings from treatment of Alzheimer's disease - A modelling approach,PHARMACOECONOMICS,,"Objective: This paper puts forward a proposal for a modelling approach to the estimation of long term cost savings from the treatment of Alzheimer's disease (AD). Design: In the proposed modelling approach, disease progression is defined in terms of intervals in the Mini-Mental State Exam (MMSE) scale. Clinical trial data are then used to determine the time at which a particular patient moved into a more severe stage of the disease. By comparing these durations across treatment groups, survival analysis is used to measure the impact of treatment in delaying the onset of a more costly stage of the disease. Setting: Patients with varying severity of AD. Patients and participants: The model uses clinical trial data on 1333 patients recruited internationally in 2 studies from 67 centres. Interventions: The aim of these clinical studies was to evaluate the safety and efficacy of 2 non-overlapping dose ranges of rivastigmine relative to placebo over a 26-week treatment period in patients with probable AD. Main outcome measures and results: The results indicate that the average cost savings with high-dose rivastigmine at the end of the trial period are quite low (approximately pound 29 per patient; 1997 values), but by extrapolating to a projected lifetime of 3 years, they rise to approximately pound 1100 per patient. The largest long term cost savings from treatment are obtained from treating those in the mild category (i.e. MMSE > 20). However, if the time horizon over which savings are estimated is short (i.e. if life expectancy is below 2 years), more costs are saved by prioritising patients with moderate AD (i.e. MMSE between 20 and 11). Conclusions: The model is a possible approach for estimating cost savings with treatment of AD, given the lack of long term data on resource use and drug efficacy. Caution should be used when extrapolating the results beyond the original study parameters.",
Equity Release Mortgages in the UK: Regional Characteristics of Demand and Supply,INTERNATIONAL REAL ESTATE REVIEW,Equity release mortgages; No-negative equity guarantee; Loan-to-value ratio; Time series-cross sectional data design,"We consider the factors that affect regional variations in equity release mortgages (ERMs) in the United Kingdom (UK). These are a growing section of the market, but with regional differences in factors that affect demand and supply. We estimate a time series cross-sectional (TSCS) model within a simultaneous equation framework to analyse the number of ERMs (a proxy for the demand for ER debt) and the average loan-to- value (LTV) ratios, a proxy for supplied loan terms. We include variables that cover demographics, demand, pricing, risk, macroeconomic factors and regional dummies. For the number of ER loans, we find positive effects from net pension income and holiday costs, and negative effects from the average LTV ratio levels, state benefits, first-time buyer interest rates, female life expectancy, mortgage price differential, house price growth and gross value added (GVA). For the average LTV ratios, there are positive effects from gross pension income, average borrower age, holiday costs, and the risk premium, as well as negative effects from the number of ERM loans, female life expectancy, and the level of real house prices. Overall, households who are living in southern, wealthier areas have greater access to, and take greater advantage of, ERM loans but require lower LTV ratios. Our key findings are generalisable across the many countries that offer similar mortgage products and so our analysis offers insights for borrowers, lenders, and regulators.",
The Rise in Life Expectancy and Economic Growth in the 20th Century,ECONOMIC JOURNAL,,"This research exploits conditional exogenous variation in mortality from the diffusion of modern medicine to study the effect of growth in life expectancy on the growth in GDP per capita. The empirical analysis establishes that countries that obtained higher growth rates of life expectancy due to this shock to mortality in the mid-twentieth century experienced lower growth rates of GDP per capita in the second half of the twentieth century. In addition, a negative relationship between initial level of life expectancy and the subsequent growth rate of GDP per capita is found.",
"Monastic mortality: Durham Priory, 1395-1529",ECONOMIC HISTORY REVIEW,,"This article presents reliable data on the life expectancy of the monks of Durham Priory between 1395 and 1529. The number of years that monks survived in this northern monastery plunged precipitously in the second half of the fifteenth century before staging a partial recovery in the early sixteenth. The experience of Durham monks mirrors the scale, direction, and timing of the data already produced for the monks of Canterbury and Westminster. While the precise relationship between monastic mortality and that of the population at large remains difficult to determine, there can be no doubt that the symmetry that has been established between mortality in three monasteries located in different parts of the country has important implications for our understanding of the demographic history of late medieval England.",
Long-Term Cost-Effectiveness of Pioglitazone versus Placebo in Addition to Existing Diabetes Treatment: A US Analysis Based on PROactive,VALUE IN HEALTH,costs; modeling; outcomes; pioglitazone; type 2 diabetes,"To estimate the long-term cost-effectiveness of adding pioglitazone versus placebo to standard treatment in high-risk patients with type 2 diabetes. The validated CORE Diabetes Model was modified to project long-term clinical and cost outcomes associated with pioglitazone versus placebo, based on results from PROactive. The model retained basic structure and functionality, with interdependent Markov submodels, Monte Carlo simulation and user interface. Adjustments to submodels were made to accommodate the PROactive primary end points. The analysis was from the perspective of a third party US health-care payer perspective, projected over a lifetime horizon using a 3% annual discount. Over a lifetime horizon, addition of pioglitazone was associated with increased life expectancy (0.237 life-years) and quality-adjusted life expectancy (QALE) [0.166 quality-adjusted life-years (QALYs)] versus placebo. Estimated long-term complication rates showed that pioglitazone reduced the number of events versus placebo for most outcomes. Lifetime total direct costs were marginally higher with pioglitazone versus placebo ($272,694 vs. $265,390, difference $7,305). The incremental cost-effectiveness ratio for pioglitazone versus placebo was $44,105 per QALY gained. Probabilistic sensitivity analysis indicated a 55% likelihood that pioglitazone would be considered cost-effective in the United States, with a willingness to pay of $50,000 per QALY gained. The addition of pioglitazone to existing therapy in high-risk patients with type 2 diabetes was projected to improve life expectancy, QALE and complication rates compared with placebo. Addition of pioglitazone was in the range generally considered acceptable.",
ADULT LONGEVITY AND GROWTH TAKEOFF,MACROECONOMIC DYNAMICS,Fertility; Growth; Human Capital; Life Expectancy; Retirement,"This paper develops an overlapping-generations model in which agents make educational and fertility decisions under life-cycle considerations and retirement from work is distinguished from death. Gains in adult longevity induce agents to decrease fertility, invest in education, and achieve higher income in order to save more for retirement. Even if working life is shortened by early retirement, this mechanism works as long as adult longevity increases sufficiently. Our model can explain the positive effect of life expectancy on education without contradicting the fact that working life length has not substantially increased, because of retirement. We also provide new insights into the interaction between fertility and retirement decisions.",
What are the economic concerns on environment? Mapping the research trends and frontiers on air pollution and health,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,Air pollution; health; bibliometric analysis; CiteSpace; VOSViewer,"There is a growing body of economic literature focusing on the negative health effect of air pollution. This paper performs a data-driven analysis of 844 economic publications on air pollution and health in the last three decades. We provide a novel way to visualize the research patterns and features, including the numerical analysis, collaboration network analysis at macro-meso-micro levels, keyword co-occurrence network analysis, and co-citation connection analysis. Additionally, the comparison with the topic dendrogram in environmental science is supplemented to seek the potential research direction. The results reveal that the entire field is now experiencing the rapid development. United States has not only published the largest number of articles, but has also established the most extensive collaborations with other countries. Besides, there have developed a couple of stable cooperative teams consisting of the leading authors. Research topics are gradually leaning toward the developing countries, and research contents are turning to psychological health. More types of air pollutants are worthy of analysis in the future.",
"The Lee-Carter Model for Forecasting Mortality, Revisited",NORTH AMERICAN ACTUARIAL JOURNAL,,"Interrupting phenomena are commonly encountered in time-series data analysis with the study of mortality trends being no exception. Nevertheless, previous demographic forecasts have paid little attention to the existence of such phenomena. In this study we use mortality data from Canada and the United States to perform time-series outlier analysis on the key component of the Lee-Carter model: the mortality index. We begin by employing a systematic outlier detection process to ascertain the timing, magnitude, and persistence of any outliers present in historical trends of the mortality index. We then try to match the identified outliers with important events that could possibly justify the vacillations in human mortality levels. At the same time, we adjust the effect of the outliers for model reestimation. The empirical results indicate that the outlier adjusted model could achieve better fits and more efficient forecasts of variables such as the central rates of death and the life expectancies at birth. Finally, we conclude our study with possible extensions on the valuations of life annuities and the probabilistic distribution of the highest attained age, incorporating the effect of mortality improvement portrayed by the revised model.",
Research and Reality: A Literature Review on Drawing Down Retirement Financial Savings,NORTH AMERICAN ACTUARIAL JOURNAL,,"How do, could, and should retirees draw down their financial savings? This article reviews over 100 papers on this topic from the perspective of individuals, families, governments, and financial institutions. Three significant conceptual/methodological weaknesses in the existing literature are identified: (1) analysts have examined a limited range of self-managed drawdown strategies; (2) nearly all have ignored home ownership, pensions, debt, and government taxes and transfers when quantitatively evaluating alternative drawdown strategies; and (3) there is a well-acknowledged gap between the behavior implied by economic models and that of real-life individuals, particularly when it comes to voluntary annuitization. Expanding the set of drawdown strategies evaluated (e.g., including larger payouts when life expectancy is reduced after the onset of a significant health condition, or using savings as bridge income to delay the take-up of Social Security payments), refining the income concept used, and more exact modeling of the trade-offs underlying individual decision-making will likely increase the appeal of self-managed drawdown strategies and help resolve the annuity puzzle that has long dominated this line of research. It may also lead to advice and financial products that will better meet the needs of retirees.",
Cost effectiveness of human immunodeficiency virus postexposure prophylaxis for healthcare workers,PHARMACOECONOMICS,,"Objective: The United States Public Health Service (USPHS) published recommendations for human immunodeficiency virus (HIV) postexposure prophylaxis (PEP) of healthcare workers in May 1998. The aim of this study was to analyse the cost effectiveness of the USPHS PEP guidelines. Design and setting: This was a modelling study in the setting of the US healthcare system in 1998. The analysis was performed from the societal perspective; however, only HIV healthcare costs were considered and health-related losses of productivity were not included. Methods: a decision tree incorporating a Markov model was created for 4 PEP strategies: the current USPHS recommendations, triple drug therapy, zidovudine monotherapy or no prophylaxis. A probabilistic sensitivity analysis using a Monte Carlo simulation was performed. Confidence intervals (CIs) around cost-effectiveness estimates were estimated by a bootstrapping method. Results: The costs (in 1997 US dollars) per quality-adjusted life-year (QALY) saved by each strategy were as follows: monotherapy $US688 (95% CI: $US624 to $US750); USPHS recommendations $US5211 (95% CI: $US5126 to $US5293): and triple drug therapy $US8827 (95% CI: $US8715 to $US8940). The marginal cost per year of life saved was: USPHS recommendations $US81 987 (95% CI: $US80 437 to $US83 689); triple drug therapy $US970 451 (95% CI: $US924 786 to $US 1 014 429). Sensitivity testing showed that estimates of the probability of seroconversion for each category of exposure were most influential, but did not change the order of strategies in the baseline analysis. With the prolonged HIV stage durations and increased costs associated with recent innovations in HIV therapy, the marginal cost effectiveness of the USPHS PEP strategy was decreased to $US62 497/QALY saved. All 3 intervention strategies were cost effective compared with no postexposure prophylaxis. Conclusions: Current USPHS PEP recommendations are marginally cost effective compared with monotherapy, but the additional efficacy of triple drug therapy for all risk categories is rewarded by only a small reduction in HIV infections at great expense. For the foreseeable future, assuming innovations in therapy that employ expensive drug combinations earlier in the HIV disease course to extend life expectancy and the increasing prevalence of HIV drug resistance, our model supports the use of the USPHS PEP guidelines.",
The Public Health Roulette,BEHAVIORAL ECONOMICS AND BIOETHICS: A JOURNEY,Life expectancy; Public health; Intergenerational conflict Health disparity,"Changes in life expectancies perturb the balance of justice between the young and the old, prompting reallocation of income and health. The long-term consequences are difficult to predict. I report a case where greater life expectancies create greater health disparity between the generations.",
"A Multigene Prognostic Assay for Selection of Adjuvant Chemotherapy in Patients with T3, Stage II Colon Cancer: Impact on Quality-Adjusted Life Expectancy and Costs",VALUE IN HEALTH,cancer; cost-effectiveness; cost-utility; health economics; technological change,"Objectives: Uncertainty exists regarding appropriate and affordable use of adjuvant chemotherapy in stage II colon cancer (T3, proficient DNA mismatch repair). This study aimed to estimate the effectiveness and costs from a US societal perspective of a multigene recurrence score (RS) assay for patients recently diagnosed with stage II colon cancer (T3, proficient DNA mismatch repair) eligible for adjuvant chemotherapy. Methods: RS was compared with guideline-recommended clinicopathological factors (tumor stage, lymph nodes examined, tumor grade, and lymphovascular invasion) by using a state-transition (Markov) lifetime model. Data were obtained from published literature, a randomized controlled trial (Quick And Simple And Reliable) of adjuvant chemotherapy, and rates of chemotherapy use from the National Cooperative Cancer Network Colon/Rectum Cancer Outcomes study. Life-years, quality-adjusted life expectancy, and lifetime costs were examined. Results: The RS is projected to reduce adjuvant chemotherapy use by 17% compared with current treatment patterns and to increase quality-adjusted life expectancy by an average of 0.035 years. Direct medical costs are expected to decrease by an average of $2971 per patient. The assay was cost saving for all subgroups of patients stratified by clinicopathologic factors. The most influential variables affecting treatment decisions were projected years of life remaining, recurrence score, and patients' disutilities associated with adjuvant chemotherapy. Conclusions: Use of the multigene RS to assess recurrence risk after surgery in stage II colon cancer (T3, proficient DNA mismatch repair) may reduce the use of adjuvant chemotherapy without decreasing quality-adjusted life expectancy and be cost saving from a societal perspective. These findings need to be validated in additional cohorts, including studies of clinical practice as assay use diffuses into nonacademic settings.",
Risk Aversion and the Value of Life,REVIEW OF ECONOMIC STUDIES,Life expectancy; Value of statistical life; Epstein-Zin-Weil preferences; Welfare; AIDS,"We show that state non-separable preferences a la Epstein-Zin-Weil (EZW) provide a tractable and flexible framework to study the economics of health and longevity. This utility representation: (1) admits a preference for timing of resolution of uncertainty regarding mortality risks; (2) links the marginal valuation of survival to the level of survival; (3) can preserve homotheticity even for low degrees of intertemporal substitution without generating implausible predictions regarding the value of life; and (4) adds needed flexibility to account for the empirical evidence on the value of life. We illustrate the implications of EZW preferences for the economic value of observed differences in life expectancy across countries and over time, and for the value of life over the life cycle.",
Deep and Proximate Determinants of the World Income Distribution,REVIEW OF INCOME AND WEALTH,polarization; growth regimes; parameter heterogeneity; non-linearities; model uncertainty,"This paper studies the deep and proximate determinants of the evolution of the cross-country distribution of GDP per worker in the period 1960-2008 by a novel method based on an information criterion. We find that countries of our sample follow three distinctive growth regimes identified by two deep determinants, namely life expectancy at birth in 1960 and the share of Catholics in 1965, and that each regime is characterized by non-linearities. Growth regimes appear to be the main cause of the increased inequality and polarization, while technological catch-up, proxied by the initial level of GDP per worker, acts in the opposite direction. Finally, human capital marginally reduces polarization, while investment rates and employment growth have no distributional effect.",
Model-Based Cost-Effectiveness Analyses for Prostate Cancer Chemoprevention A Review and Summary of Challenges,PHARMACOECONOMICS,,"Background and Purpose Decision-analytic modelling is often used to examine the economics associated with using a specific treatment. As a result, it is important to understand structural and methodological approaches used in published decision-analytic models for examining the cost effectiveness of 5 alpha-reductase inhibitors (5ARIs) for prostate cancer (PCa) chemoprevention. This understanding allows us to provide recommendations for using decision modelling in future economic evaluations of chemoprevention for PCa. Methods A review of the published literature was performed using MEDLINE and the Cochrane Library to identify studies involving mathematical decision models that evaluated 5ARIs for PCa chemoprevention. Published articles were reviewed and key modelling components were extracted and summarized. Recommendations for developing future decision models to examine the economic consequences of PCa chemoprevention were presented. Results We identified seven published models of PCa chemoprevention. All the models identified used a Markov framework with time horizons ranging from 4 years to lifetime. Due to the wide range of patient risk groups examined, PCa risk data were taken from the Surveillance, Epidemiology, and End Results (SEER) and other databases or estimates published in relevant clinical trials. Treatment effects included change in the incidence of high- and low-grade PCa and impacts on benign prostate hyperplasia. Adverse events were considered to affect compliance, discontinuation and quality of life. Quality-of-life impacts were similar among studies. Examination of modelling parameter sensitivities was comprehensive. Conclusions Published models have examined the cost effectiveness of PCa chemoprevention; however, limitations exist. Decision models should take into account the full PCa clinical pathway when compiling health states. The time horizon should be long enough to consider the full benefit of chemoprevention while allowing actual time receiving the drug to occur from the start of the model until a man's life expectancy is less than 10 years. Baseline PCa risk should be specific to the population of concern. Models should examine the impact on both low- and high-grade tumours and account for the impact of 5ARIs on benign prostatic hyperplasia. Because chemoprevention has an upfront effect, the structure of the model should be constructed so that the downstream effect of avoiding or delaying recurrence can be considered. Adverse events due to chemoprevention should be considered through compliance, discontinuation or quality-of-life impact, and understanding the impact of avoiding PCa and benign prostatic hyperplasia events are important model properties.",
Working Conditions and Mortality Risks Among Those Over the Age of 65: Findings From Germany,WORK AGING AND RETIREMENT,,"Despite the common worldwide trend of increasing life expectancy, socioeconomic differences and inequalities in mortality risks remain. This study focuses on the differences in mortality risks after the age of 65 due to working conditions during one's working life. The study is based on data from the German Socio-Economic Panel (GSOEP), a representative longitudinal survey for Germany. Using occupations as a linkage variable, we match job exposure matrices that contain information about typical occupational working conditions from the German Working Conditions Survey. We estimate event analysis models to determine the effects of typical working conditions in occupations on mortality risks after retirement, while controlling for numerous individual characteristics. Working in occupations with strenuous conditions leads to higher mortality risks in later life. The effect is more pronounced for women than for men. Other factors, notably being male, having poor self-assessed health and the prevalence of an officially acknowledged disability, also increase mortality risks. According to our analysis-and in contrast to other studies-income position does not affect mortality risks after working conditions are introduced to the model. We conclude that reducing job strains may be an effective way of increasing life expectancy in later life. Further research should invest in a deeper understanding of the interplay between income and working conditions, consider the age and duration when strenuous working conditions occur and observe changes in working conditions within occupations.",
"Environmental Quality, Public Debt and Economic Development",ENVIRONMENTAL & RESOURCE ECONOMICS,Environmental policies; Pollution abatement; Public debt; Economic development; Poverty trap,"This article analyzes the consequences on capital accumulation and environmental quality of environmental policies financed by public debt. A public sector of pollution abatement is financed by a tax or by public debt. We show that if the initial capital stock is high enough, the economy monotonically converges to a long-run steady state. On the contrary, when the initial capital stock is low, the economy is relegated to an environmental poverty trap. We also explore the implications of public policies on the trap and on the long-run stable steady state. In particular, we find that government should decrease debt and increase pollution abatement to promote capital accumulation and environmental quality at the stable long-run steady state. Finally, a welfare analysis shows that there exists a level of public debt that allows a long run steady state to be optimal.",
"Guludo Beach Lodge and the Nema Foundation, Mozambique",SOCIAL ENTREPRENEURSHIP AND TOURISM: PHILOSOPHY AND PRACTICE,Mozambique; Guludo Beach Lodge; Nema Foundation,"Mozambique in south east Africa is one of the poorest and most underdeveloped countries in the world. It ranks amongst the lowest in GDP per capita, human development, measures of inequality, and average life expectancy. The country has a host of social, cultural and/or environmental problems. However, one venture has been established which is making a huge contribution to the welfare of many people in the north eastern part of the country. Guludo Beach Lodge was founded in 2002 and is located in Quirimbas National Park in the Cabo Delgado Province of Mozambique. The lodge is a community based eco-resort which is used as the basis for funding the Nema Foundation which in turn supports a raft of social projects in surrounding local communities. Nema is a UK registered charity working in the district of Macomia, Mozambique, with 16 communities to improve access to education, safe drinking water, healthcare, food security and SMEs. It has a diverse range of grass-root projects tailored to each community with donations going directly to these projects bringing opportunities and hope to a new generation.",
