Article Title,Source Title,Author Keywords,Abstract,relevance
A Simple Linear Regression Approach to Modeling and Forecasting Mortality Rates,JOURNAL OF FORECASTING,linear regression; mortality fitting; mortality forecasting; Lee-Carter model; CBD model,"Observing that a sequence of negative logarithms of 1-year survival probabilities displays a linear relationship with the sequence of corresponding terms with a time lag of a certain number of years, we propose a simple linear regression to model and forecast mortality rates. Our model assuming the linearity between two mortality sequences with a time lag each other does not need to formulate the time trends of mortality rates across ages for mortality prediction. Moreover, the parameters of our model for a given age depend on the mortality rates for that age only. Therefore, whether the span of the study ages with the age included is widened or shortened will not affect the results of mortality fitting and forecasting for that age. In the empirical testing, the regression results using the mortality data for the UK, USA and Japan show a satisfactory goodness of fit, which convinces us of the appropriateness of the linear assumption. Empirical illustrations further show that our model's performances of fitting and forecasting mortality rates are quite satisfactory compared with the existing well-known mortality models. Copyright (c) 2015 John Wiley & Sons, Ltd.",
Optimal Annuitization with Stochastic Mortality and Correlated Medical Costs,AMERICAN ECONOMIC REVIEW,,"The conventional wisdom since Yaari (1965) is that households without a bequest motive should fully annuitize their investments. Numerous frictions do not break this sharp result. We modify the Yaari framework by allowing a household's mortality risk itself to be stochastic due to health shocks. A lifetime annuity still helps to hedge longevity risk. But the annuity's remaining present value is correlated with medical costs, such as those for nursing home care, thereby reducing annuity demand, even without ad-hoc liquidity constraints. We find that most households should not hold a positive level of annuities, and many should hold negative amounts.",
The cost and value of UK pensions,ANNALS OF ACTUARIAL SCIENCE,Defined benefit; Defined contribution; Pension; Longevity; Interest rates,"Over the last 20 years, the extent of defined benefit provision has declined substantially in the United Kingdom. Whilst most of the focus has been on deficits relating to past benefit accrual, the increasing cost of future benefit accrual is also important. There are two reasons for this. First, the change in the cost of defined benefit accrual represents the difference in the earnings for employees with membership of a defined benefit scheme and those with membership of a defined contribution scheme. Second, the current cost of defined benefit accrual gives an indication of the cost of an adequate pension. As such, it can be compared with levels of contribution to defined contribution schemes to determine whether these are adequate. I therefore look at how the cost of pensions has changed relative to the cost of non-pensions earnings. I also look at the main components of the change in pensions cost - those relating to benefits payable, discount rates and longevity - to analyse their relative importance. I find that the cost of employing a member of defined benefit pension scheme has consistently outpaced the cost of employing someone in a defined contribution arrangement. I also find that the current cost of accrual is significantly higher than the average level of payments to defined contribution schemes.",
Age-Conditional Effects of Political Skill and Empathy on Emotional Labor: An Experience Sampling Study,WORK AGING AND RETIREMENT,,"Grounded in lifespan development theories that posit a positive influence of aging on emotion regulation, we examine how chronological age and political skill (i.e., a work-related interpersonal competency that functions as an emotion-relevant resource) jointly moderate the relationships between within-person levels of empathy and the use of emotional labor strategies across a workweek. Participants were n = 118 full-time university employees (M-age = 42.85 years; SD = 12.18; range = 20-70), who completed momentary surveys 3 times a day, over a single 5-day workweek. Results show that age and within-person levels of empathy were positively related to momentary levels of deep acting. Considering further the interaction of age, political skill, and empathy, results suggest that the positive relationship between empathy and deep acting is conditional upon age and individual differences in political skill, with differential relationships observed for relatively older versus relatively younger participants. Overall, the findings of this study contribute to a better understanding of the role of age and political skill for daily emotional regulation in the work context.",
Optimal Social Insurance and Health Inequality,GERMAN ECONOMIC REVIEW,Aging; health expenditure; health inequality; social security system; retirement age,"This paper integrates into public economics a biologically founded, stochastic process of individual aging. The novel approach enables us to quantitatively characterize the optimal joint design of health and retirement policy behind the veil of ignorance for today and in response to future medical progress. Calibrating our model to Germany, our analysis suggests that the current social insurance policy instruments are set close to the (constrained) socially optimal levels, given proportional contribution rates for health and pension finance, the equivalence principle in the pension system, and a common statutory retirement age. Future progress in medical technology calls for a potentially drastic increase in health spending and a higher retirement age without lowering the pension contribution rate. Interestingly, from an ex ante point of view, medical progress and higher health spending are in conflict with the goal to reduce health inequality.",
Pricing Buy-Ins and Buy-Outs,JOURNAL OF RISK AND INSURANCE,,"Pension buy-ins and buy-outs have become an important aspect of managing pension risk in recent years. As a step toward understanding these pension de-risking instruments, we develop models for pricing investment risk and longevity risk embedded in pension buy-ins and buy-outs. We also bring a contingent-claims framework to price credit risk of buy-in bulk annuities. Overall, our model can be used to assess the pricing of investment, longevity, and credit risks being transferred in pension buy-in and buy-out transactions.",
"Earnings test, non-actuarial adjustments and flexible retirement",ECONOMICS LETTERS,Population aging; Social security; Public insurance; Pension reform; Life-cycle saving; Labor supply; Retirement age,"In response to the challenges of increasing longevity, many countries have introduced flexibility reforms for their public pension systems. A key measure of these reforms is the abolishment of earnings tests. It is claimed that these reforms increase labor supply and therefore the financial sustainability of pension systems. We build a simulation model to show that abolishing an earnings test may indeed create more labor supply but simultaneously reduce the average claiming age when adjustments remain less than actuarial, as is the case in most European pension systems. Flexibility reforms may therefore worsen rather than improve the sustainability of public pension systems. (C) 2018 Elsevier B.V. All rights reserved.",
"Harnessing the Potential of Older Workers Through Relationships at Work: Social Support, Feedback, and Performance",WORK AGING AND RETIREMENT,aging workforce; job design; social support; feedback; performance,"With the aging of the global workforce, it is crucial to deepen our understanding of how to keep older workers healthy, motivated, and productive. In this research, we integrate job design with socioemotional selectivity theory to propose that social job characteristics relate to employee performance differently for older and younger workers. Specifically, in a 3-wave survey (N = 454), we tested employee age as a moderator of the relationships between receiving social support and feedback at work, and performance, as well as giving social support and feedback at work, and performance. The results showed that, in general, both receiving and giving social support and feedback are associated more strongly with the performance of older than younger workers. The findings provide important theoretical implications for the study of aging and work; they also offer practical applications for creating workplaces in which older workers can reap the benefits of social relationships to remain productive.",
Hurricane Lifespan Modeling through a Semi-Markov Parametric Approach,JOURNAL OF FORECASTING,semi-Markov process; transition probabilities; waiting time distributions; evolution equation; Monte Carlo simulation; Saffir-Simpson scale; hurricane derivatives; Carvill index,"The estimation of hurricane intensity evolution in some tropical and subtropical areas is a challenging problem. Indeed, the prevention and the quantification of possible damage provoked by destructive hurricanes are directly linked to this kind of prevision. For this purpose, hurricane derivatives have been recently issued by the Chicago Mercantile Exchange, based on the so-called Carvill hurricane index.In our paper, we adopt a parametric homogeneous semi-Markov approach. This model assumes that the lifespan of a hurricane can be described as a semi-Markov process and also it allows the more realistic assumption of time event dependence to be taken into consideration. The elapsed time between two consecutive events (waiting time distributions) is modeled through a best-fitting procedure on empirical data. We then determine the transition probabilities and so-called crossing states probabilities. We conclude with a Monte Carlo simulation and the model is validated through a large database containing real data coming from HURDAT. Copyright (c) 2012 John Wiley & Sons, Ltd.",
"Age as moderator of the relationship of proactive personality with training motivation, perceived career development from training, and training behavioral intentions",JOURNAL OF ORGANIZATIONAL BEHAVIOR,,"Based on changes in motivation thought to occur across the lifespan, we investigated whether age would moderate the relationship between proactive personality and three training-related variables: training motivation, perceived career development from training, and training behavioral intentions. A survey was completed by 252 municipal government employees. As hypothesized, participants age moderated the relationship between proactive personality and these outcomes. Specifically, there was generally a more positive relationship between proactive personality and the outcomes for younger participants than for older participants. Our discussion focuses on implications for training in organizations and recommendations for practice. Copyright (C) 2011 John Wiley & Sons, Ltd.",
Discussing the political survival of Romanian ministers since 1989-Do economic conditions matter?,ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,frailties; macroeconomics; political longevity; principal– agent theory; proportional hazard; Romanian governments; transitional economy,"Political longevity in young democracies has attracted the attention of scholars and practitioners alike due to several particular characteristics of such democracies, such as a low level of trust, a low level of credibility, corruption, economic difficulties, a less well-established rule of law and an increased bureaucracy. In such a context, we studied the tenure duration of Romanian ministers since 1989, as well as their accumulated political longevity in ministerial offices. Using proportional hazards regression, we observed some peculiarities in the young Romanian democracy in comparison with more established regimes. We observed that left-wing majorities tend to increase the probability of seat changes and thus diminish tenure longevity. We also observed that good economic conditions may lead to the substitution of certain types of ministries, while higher inflation rates tend to shorten tenure longevity for Romanian ministers. Moreover, our estimations support the finding that Romanian ministers tend to have shorter tenures as the number of past ministerial functions increases and that the burden of simultaneously managing various ministries significantly contributes to the shorter political longevity of a given minister. Finally, recent ministers have had longer tenures than those in the first years after the fall of communism in Eastern Europe in 1989.",
Knowledge acquisition from foreign parents in international joint ventures: An empirical study in Vietnam,INTERNATIONAL BUSINESS REVIEW,knowledge acquisition; international joint ventures; absorptive capacity,"Drawing on alliance learning and absorptive capacity literatures, we propose a model-linking absorptive capacity, knowledge acquisition, and performance. The model is tested in a sample of 173 international joint ventures (IJVs) in Vietnam. The results show that all three components of absorptive capacity contributed substantially to the level of knowledge acquisition reported by IJVs. Critical factors predicting knowledge acquisition included investment in training, employees' ability to learn, and joint participation. Knowledge acquisition, especially the acquisition of tacit knowledge, was found to contribute significantly to IJV performance. Our model generally supports existing theories regarding the relationship between absorptive capacity and knowledge acquisition, as well as between knowledge acquisition and performance. (c) 2006 Elsevier Ltd. All rights reserved.",
Analysing the impact of rising mortality in adult ages on financial and actuarial products,ECONOMICS LETTERS,Mortality; Insurance; Annuities; Risk products; Economic impact,"A reversal in the trend seen since 2010 of a reduction in adult mortality holds significant economic and financial implications. Mortality and longevity models applied in 2010 projected central death rates that have not materialized, resulting in measurable economic effects. This study examines the economic consequences of two financial-actuarial products- a year-term life insurance and life annuities- in light of the worsening central death rates within the 55-70 age bracket. Conducted across twelve countries (Australia, Canada, Denmark, France, Greece, Germany, Italy, Japan, Spain, Sweden, the United Kingdom, and the United States), the research demonstrates substantial cost savings in annuity products and cost overruns in risk insurance products.",
"The impact of human behaviour and restoration on the economic lifespan of the proposed Ntabelanga and Laleni dams, South Africa: A system dynamics approach",WATER RESOURCES AND ECONOMICS,System dynamics; Dams; Economic lifetime; Soil erosion; Human behaviour; Restoration,"The South African government intends to develop the Mzimvubu Water Project (MWP) which includes the construction of two dams (the Ntabelanga and Laleni dams) in the Tsitsa River, Eastern Cape province, South Africa. This investment is believed to be important to unlock the economic potential of this rural, poor and underdeveloped area. We consider a range of variables to ascertain what the realistic economic lifespan of each of the dams are, subject to uncertainty and complexity, as the benefits from the development of the dams are closely linked to such lifespans. The selected sites are prone to soil erosion thereby potentially jeopardising the derived benefits from the investment. We therefore develop a catchment-wide system dynamics model, incorporating both technical and behavioural dimensions, in an effort to determine which factors influence the economic lifespan of the dams and to what extent. The results suggest that, without taking any restorative or behavioural effects into consideration, the lifespan of the Ntabelanga and Laleni dams are 55-68 years and 26-33 years, respectively. Introducing business-as-usual type behavioural patterns could reduce the dams' lifespans by between 35% and 44% due to the increased erosion. The increased soil erosion and resulting sedimentation is the direct result of increased human and animal movements due to the economic investment and associated land use change. Restorative and desirable behavioural action that will mitigate these impacts have the potential to reduce this loss to only 4%-9%. This would imply investing heavily both in restoration and in capacity-building and community development programmes to facilitate desirable behavioural change. In sum, this suggests that investment in social and natural capital has to coincide with the investment of financial capital in manufactured capital to make economic development last. Investment in social and natural capital could therefore be viewed as a type of insurance policy, and thus an insurance investment, against the risk of very plausible losses of the benefits derived from the manufactured capital (the dams). Alternatively, the opportunity cost of not investing in social and natural capital, is the much reduced lifespans of the dams and all associated economic benefits.",
A Bayesian approach to pricing longevity risk based on risk-neutral predictive distributions,INSURANCE MATHEMATICS & ECONOMICS,Bayesian approach; Pricing longevity risk; Maximum entropy principle; Risk-neutral predictive distribution; Japanese mortality rates,"We present a Bayesian approach to pricing longevity risk under the framework of the Lee-Carter methodology. Specifically, we propose a Bayesian method for pricing the survivor bond and the related survivor swap designed by Denuit et al. (2007). Our method is based on the risk neutralization of the predictive distribution of future survival rates using the entropy maximization principle discussed by Stutzer (1996). The method is illustrated by applying it to Japanese mortality rates. (C) 2009 Elsevier B.V. All rights reserved.",
Harnessing competencies capabilities and resource,RESEARCH-TECHNOLOGY MANAGEMENT,strategic alignment; core competency; corporate resources,"The importance of identifying and fostering corporate capabilities has been confused with creating competencies. Competencies are unique products or services, often created in the R&D labs, which can penetrate existing markets. Capabilities are the operational ability to deliver those new products and services efficiently, repeatedly and in sufficient volume. Capabilities and competencies are both required to succesfully place a product in the market. These must also be supported by corporate resources to ensure longevity. The importance of aligning competencies, capabilities and resources can be explained through the analogy of an axe blade splitting dense wood.",
Age in the Entrepreneurial Process: The Role of Future Time Perspective and Prior Entrepreneurial Experience,JOURNAL OF APPLIED PSYCHOLOGY,age; entrepreneurship; experience; life span; future time perspective,"Combining the life span developmental perspective with the process perspective of entrepreneurship, we develop hypotheses on the role of age in the entrepreneurial process. Specifically, we expect that younger people have a more extensive future time perspective than older people, which makes it more likely for younger (vs. older) people to transition from opportunity identification to forming entrepreneurial intentions. Further, we expect that older people have greater prior entrepreneurial experience than younger people, which makes it more likely for older (vs. younger) people to transition from forming entrepreneurial intentions to engaging in entrepreneurial activity. We tested our hypotheses using longitudinal data from 343 working adults from Australia across 12 months with 3 measurement waves. Results supported our hypotheses. Our findings suggest that age-related constructs can facilitate and hinder transitions in the entrepreneurial process.",
Co-evolution in an institutionalized environment,JOURNAL OF MANAGEMENT STUDIES,,"This paper examines the extent to which co-evolution can take place within a heavily constrained environment and how changes in the degree of institutionalization are relevant to opportunities for exercising strategic choice at the level of the firm. It addresses these questions through a detailed case study of a major Brazilian telecommunications company, Telemig, covering its life span of 27 years from 1973 to 2000. The insights obtained advance the theory of co-evolution by incorporating a political dimension of how organizations are transformed into new forms. In the case studied, new forms arose with radical changes in the rules affecting competition and with de-institutionalization of the economic regime by coalitions of actors who were strategically located in networks that crossed system levels. Although the Telemig case presents circumstances different to those usually addressed by studies of co-evolution, it nevertheless points to the virtues of combining a strategic choice approach with one that focuses on the isomorphic effects of institutional constraints.",
Mortality decline and long-run economic growth,JOURNAL OF PUBLIC ECONOMICS,mortality decline; dynastic family; longevity; social security,"This paper examines the impacts of mortality decline on long-run growth in a dynastic family, two-sector growth model with social security. A rise in longevity has direct effects on fertility, human capital investment, and growth, as well as indirect effects through increasing unfunded social security contributions. Both the direct and indirect effects depend on the relative strength of the tastes for the number and welfare of children and may have different signs. The net effects of rising longevity on fertility tend to be negative, but positive on human capital investment and growth. (C) 2001 Elsevier Science S.A. All rights reserved.",
Gone with the wind: Demographic transitions and domestic saving,REVIEW OF DEVELOPMENT ECONOMICS,,"This study explores the relationship between demographic factors and saving rates using a panel dataset covering 110 countries between 1963 and 2012. In line with predictions from theory, this paper finds that, on average, lower dependency rates and greater longevity are associated with higher domestic saving rates. However, these correlations are statistically robust only in Asia. In particular, Latin America, which is a region that has undergone a remarkably similar saving friendly demographic transition since the 1970s, did not experience the same boost in saving rates as Asia. The paper highlights that the potential dividends arising from a favorable demographic transition are not automatically accrued. This is a sobering message at a time when the demographic tide is shifting in the world.",
Centenary Agrarian Cooperatives in Catalonia: Characteristics and contribution to the SDGs,CIRIEC-ESPANA REVISTA DE ECONOMIA PUBLICA SOCIAL Y COOPERATIVA,Agricultural cooperativism; SDGs,"Agricultural cooperatives in Catalonia are characterised by their extraordinary longevity, with more than a quarter of them having reached a century of survival and operation (Socioeconomic Review of the Federacio de Cooperatives Agraries de Catalunya, FCAC, 2022, 2021 and 2020). Despite this durability, these organisations have been compelled to face important changes (evolution of the agricultural sector, consumer tastes' changes, government requirements, mechanisation and modernisation of the agricultural sector), as well as to respond to structural difficulties such as farm dimensions, ageing and generational renewal, among others. As a fundamental structure of the Social Economy, co-operatives carry out their activities under the premises of co-operative values and principles, becoming essential actors in the fulfilment of the Sustainable Development Goals (SDGs) (Villaescusa, 2019) approved within the framework of the United Nations General Assembly in September 2015. Referring to agri-food cooperatives, Mozas and Bernal (2020) highlight them as entities that constitute the backbone of the Social Economy, representing one of the basic instruments of rural development (Gallego, 2007). The proposal we make in this paper is as follows: agricultural cooperatives' demonstrate a longevity that requires a detailed analysis in order to determine the elements that contribute to it and that, in a tacit way, contribute to the fulfilment of some of the SDGs (4, 9, 12, 16 and 17). To achieve these research objectives, we use Bourdieu's (1986) Theory of Capital.",
Effect of manufacturing service transformation management on technological innovation,JOURNAL OF INNOVATION & KNOWLEDGE,Manufacturing service management; Technological innovation; Servitizaiton of input; Servitization of output,"The immediate need for servitization and digital technologies like the Internet of Things (IoT), cloud computing and predictive analysis must be addressed in manufacturing industries. This research aims to analyze the impact of manufacturing services transformation management from traditional methods to technological innovation. This research approached the panel data of Chinese multinational equipment manufacturing industries for the analytical purpose from 2011 to 2017. The unit-root test has checked the stationarity of panel data and cointegration regression checked the long-term relationship among selected variables. The research results have confirmed a long-run and positive relationship between service transformation management of manufacturing enterprises and technological innovation. The positive upward trend among these two variables is because of increasing market demand-driven, open innovation network construction and increase in capital (intellectual, human & financial capital). The negative sign of values is declared the validity of an inverted U-Shaped analysis, which confirms the relationship's longevity. The adaptation of technological innovation has also indicated the growing performance trend in service management enterprises. As per the rule of inverted U-Shaped law, at a specific point, the manufacturing enterprises' servitization management will start declining, and it will continue as a cyclic process. This research suggests that enterprises should prepare for the declining phase of servitization and sort out the other performance growth area, which will help to balance the performance of manufacturing enterprises wholesomely. (c) 2023 Published by Elsevier Espana, S.L.U. on behalf of Journal of Innovation & Knowledge. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",
Understanding the main drivers of family firm longevity: the role of business family learning,INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION,Business family; family firm; longevity; organizational learning; succession process,"Through an exploratory study of three long-standing German family firms, we propose a theoretical framework to study family firm longevity. Whereas research so far has mainly focused on the firm's level of analysis, this study aims to elucidate the role of the business family learning in the longevity of these long-standing family firms. Moreover, the business family is considered as an independent organizational entity capable of learning and developing. Drawing upon the concept of organizational learning, we find higher-level learning as a vehicle for defining the purpose of the business family-transgenerational control-and the implementation of necessary structures-succession processes. Lower-level learning ensures these successions processes are adaptable to environmental changes. Implications for theory and practice are discussed.",
Heterogeneity in the relationship between subjective well-being and its determinants over the life cycle: A varying-coefficient ordered probit approach,ECONOMIC MODELLING,Subjective well-being; Happiness; Aging; Semiparametric method; Varying-coefficient model; Ordered probit model,"We examine the evolution of the mechanism behind subjective well-being (SWB) across the lifespan using data from the 1972-2010 waves of the U.S. General Social Survey. By estimating a semiparametric varying-coefficient partially linear ordered probit model, we find that the influence of race, income, reference income, labor market status, marriage, and number of children on SWB varies greatly and nonlinearly along the life cycle. Among our results, we find that the effect of being black on the representative male's probability of being in the lowest happiness category falls from 9399 percentage points (pps) at age 29 to 1.709 pps at age 55, turning insignificant afterwards. Being unemployed is associated with an increase in the representative male's probability of being in the lowest happiness category by 6.322 to 15.896 pps, with the largest effect occurring at age 40. The varying-coefficient model enhances our understanding of when life events are most detrimental to a person's well-being. The heterogeneity found highlights that, in order to promote well-being effectively, public policies should be differentiated across people depending on their age. (C) 2015 Elsevier B.V. All rights reserved.",
VALUING THE LONGEVITY INSURANCE ACQUIRED BY DELAYED CLAIMING OF SOCIAL SECURITY,JOURNAL OF RISK AND INSURANCE,,"Individuals can claim Social Security at any age from 62 to 70, althoughmost claim at 62. We show that expected present value calculations substantially understate both the optimal claim age and the losses resulting from early claiming because they ignore the value of the additional longevity insurance acquired because of delay. Using numerical optimization techniques, we illustrate that the optimal claim age is between 67 and 70. We calculate that the amount by which benefits payable at suboptimal ages must be increased so that a household is indifferent between claiming at those ages and the optimal combination of ages can be as high as 19.0 percent.",
An explanation of the life span of new French firms,SMALL BUSINESS ECONOMICS,,"In contrast to previous studies on firm survival which tend to focus on features related to the structure of the firms and their area of activity, our aim here is to widen the perspective usually adopted in the field, taking into account a larger and more qualitative set of variables. Among these variables, features related to the individual characteristics of the entrepreneur, to the context of entrepreneurship and to the insertion in entrepreneurial networks are significant to explain the life span of new firms. The empirical material is drawn from two surveys, which provide detailed data about a group of new firms created in France in 1994 and closed down before 1997 or still running in 1997. Our empirical approach on qualitative data is based on data analysis methods ( linear discriminant analysis, barycentric discriminant analysis, analysis of variance). According to the characteristics of the entrepreneur, the main explanatory factors for the survival of new firms are the fact that they are entrepreneurs who have taken over firms, that they have acquired during their previous occupational activity an experience in the same branch of activity and that they experience a successful integration into the entrepreneurial networks. These three factors show that the survival of young firms is indirectly conditioned by the existence of an initial custom, by the mastery of a job and by the know-how in the entrepreneurial function.",
An investigation of team information processing in service teams: Exploring the link between teams and customers,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,service teams; team information processing; team norms; customer satisfaction,"In an effort to satisfy the needs of increasingly knowledgeable and demanding customers, many organizations are implementing teams in customer contact positions. Unfortunately, stifled information flows and poor communication often impede their effectiveness. To help managers build more effective teams, the authors develop and test a model of team information processing that includes both antecedents (information acquisition, team norms, team size, and team longevity) and outcomes (customer satisfaction with service). Data collected from 61 health care teams, as well as from 1,598 patients served by these teams, are used to investigate the hypothesized relationships between variables. Partial support for the model is provided. Based on these findings, implications for researchers and practitioners are offered.",
Modeling and pricing longevity derivatives using Skellam distribution,INSURANCE MATHEMATICS & ECONOMICS,Mortality modeling; Skellam distribution; Mortality forecasting; Longevity swaps; Heavy tail,"We propose a novel mortality improvement model with the difference of death counts follows the Skellam distribution. We extend Mitchell et al. (2013) by considering the difference in Poisson death counts instead of the ratio of subsequent mortality rate, which does not have a known distribution. We derive the iterative estimators of the model from the Skellam distribution. Our model can employ maximum likelihood estimation for estimation issues such as missing data and provides a better fit than Mitchell et al. (2013). Using English and Wales mortality rate age 0-89 data during 1950-2016, the model estimate suggests that the age-dependent mortality improvement is slower than the benchmark, which coincides with a recent observation by Office for National Statistics (2018). The forecasting performance outperforms the Poisson and M10 model. We make inferences on the price of longevity swaps and analyze how the volatility shock of mortality improvement affects the premium of longevity swaps. (C) 2021 Elsevier B.V. All rights reserved.",
Rationality of longevity expectations: Evidence from the Korean Longitudinal Study of Aging,JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,Longevity expectations; Subjective survival probability; Rational expectations hypothesis; Bayesian updating; Consumption growth,"This study utilizes data from the Korean Longitudinal Study of Aging to test the rational expectations hypothesis regarding longevity expectations. The rationality of longevity expectations is tested on two grounds: belief formation and its association with consumption and savings outcomes. Although individuals seem to have little knowledge of lifespan, they revise their survival forecast rationally and systematically in response to new information. The updating process follows a random walk as predicted by a Bayesian learning model. We also show that consumption and savings behaviors vary with this rationally formed expectations as if individuals make deliberate long-range plans. Overall, these findings lend further support to the rational expectations hypothesis and individuals as forward-looking decision makers. (C) 2017 Elsevier B.V. All rights reserved.",
Easy does it: an innovative view on developing career identity and self-direction,CAREER DEVELOPMENT INTERNATIONAL,Reflection; Brain development; Identity; Foreclosure; Career education; Self-direction,"Purpose A generally held belief in the field of career development is that career attitudes and abilities, including identity and self-direction, can and should be developed in school programmes with a cognitive focus. The purpose of this paper is twofold: first, to question this belief, and second, to provide a new perspective on career development that may inspire innovations for career science, and guidance during the lifespan. Design/methodology/approach Specific questions are formulated and answered on the basis of sources mainly stemming from neurosciences and different sub-disciplines of psychology. On the basis of a systems theory, a new approach is proposed. Findings Current approaches in career guidance are at odds with findings and insights from developmental sciences and brain research. Several risks of current approaches are described. One risk is identity foreclosure. Another risk involves the development of ineffective ways of thinking and decision making. A control theory that stems from cybernetics is proposed to offer an alternative view on career development. Originality/value This paper questions a mainstream approach and offers an original point of view.",
The emergence and evolution of benchmarking: a management fashion perspective,BENCHMARKING-AN INTERNATIONAL JOURNAL,Benchmarking; Evolution; Emergence; Management tool; Management concept; Management fashion,"Purpose - The purpose of this paper is to make a contribution to the benchmarking literature by examining the historical emergence and evolution of benchmarking using the management fashion perspective as a theoretical lens. Design/methodology/approach - The research approach followed in this paper can be characterized as explorative and theoretical. Insights from different data sources have been combined to provide a rich description of the emergence and evolution of benchmarking. Findings - This analysis casts new light on several aspects of benchmarking's emergence and evolution pattern. The characteristics of the benchmarking idea give it potential as a fashionable management tool. The widespread popularity and longevity of benchmarking can to a large extent be explained by the efforts of various actors to turn benchmarking into an institution. Research limitations/implications - The paper is explorative and is limited by a reliance on secondary sources. Originality/value - Although some researchers have noted that benchmarking could be viewed as a management fashion, management fashion theory has, only to a very limited extent, been used as a theoretical lens in the context of benchmarking. This research paper demonstrates that management fashion theory can provide valuable insights for research on benchmarking.",
The impact of creative competence and project management on longevity of the client-advertising agency relationship,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,Creativity; Advertising; Customer loyalty; Advertising agencies,"Purpose - The study aims to consider the overall impact of the service encounters and projects undertaken on the long-term relationship between the agency and its clients. Design/methodology/approach - The study uses a parallel mixed-method design incorporating quantitative and qualitative elements in the client-advertising agency context. Data obtain via an online survey in Study 1 were analysed using structural equation modelling and bias-corrected bootstrapping technique. Study 2 featured 15 in-depth interviews with marketing managers and project leaders. Findings - The findings revealed that advertising agencies deliver value and create trust through creativity aspects as well as project management processes. In addition, both perceived value and trust have crucial roles in fostering client-agency relationships and the continuance of business relationships. Value has a stronger direct effect on loyalty when compared with trust, confirmed by the results of Study 2. Several respondents pointed out the influence of client characteristics on both evaluation of creativity as well as loyalty. Practical implications - The results highlight the importance of project management and planning which should be seen as an investment by both parties. Moreover, agencies need to involve clients in the creative process and focus on marketing themselves and the value they add to enhance client loyalty. Originality/value - This study was the first to develop a model for the drivers of loyalty, drawing from literature in three key areas: service quality, relationship marketing and project management. An additional contribution of the study stems from the incorporation of an integrated parallel mixed-methods approach.",
THE EFFECT OF NONCONTRIBUTORY PENSIONS ON SAVING IN MEXICO,ECONOMIC INQUIRY,,"This paper examines the effects of noncontributory pension programs at the federal and state levels on Mexican households' saving patterns using micro data from the Mexican Income and Expenditure Survey. We find that the federal program curtails saving among households whose oldest member is either 18-54 or 65-69 years old, possibly through anticipation effects, a decrease in the longevity risk faced by households, and a redistribution of income between households of different generations. Specifically, these households appear to be reallocating income away from saving into human capital investments, like education and health. Generally, state programs have neither significant effects on household saving, nor does the combination of federal and state programs. Finally, with a few exceptions, noncontributory pensions have no significant impact on the saving of households with members 70 years of age or older-individuals eligible for those pensions, plausibly because of their dissaving stage in the lifecycle.",
Mortality modelling with Levy processes,INSURANCE MATHEMATICS & ECONOMICS,stochastic mortality; longevity risk; Levy processes,"This paper addresses the modelling of human mortality by the aid of doubly stochastic processes with an intensity driven by a positive Levy process. We focus on intensities having a mean reverting stochastic component. Furthermore, driving Levy processes are pure jump processes belonging to the class of a-stable subordinators. In this setting, expressions of survival probabilities are inferred, the pricing is discussed and numerical applications to actuarial valuations are proposed. (C) 2008 Published by Elsevier B.V.",
The Impact of Leadership Longevity on Innovation in a Religious Organization,JOURNAL OF BUSINESS ETHICS,leadership; innovation; not-for-profit; religious organizations; empirical study,"Navigating organizations through a changing environment is central to leadership. Thus, innovativeness has proven to be critical to the process of achieving strategic competitiveness (Yukl, Leadership in Organizations, 1998). This skill is particularly needed when the firm is confronted with the unique challenges of a religious organization. The existence of innovation and the dependencies that encourage or restrict its existence in this environment are largely unknown. Utilizing a sample of 250 religious organizations in five geographical areas this research explores the impact of the leader tenure on the degree of organizational innovation. An analysis of variance for innovative strategy use across the three tenure groups was significant, F (2, 247) = 6.08, p < 0.01, which indicated innovation differences across the three levels of leader tenure. Post hoc analysis indicated that the low tenure leadership group was associated with lower levels of innovation than either of the other groups. Detailed findings are presented and the managerial implications and suggestions are provided. This research has strong implications for implementation of leadership development and strategic management of the increasing number of socially conscious organizations and organizations with large volunteer components.",
